1,0,25905,41488,32977,25725,32436,39675,0,0
2,960,17219,49836,33129,25628,32924,39075,0,0
3,1920,9710,56780,33080,25754,33526,38365,0,0
4,2880,4056,61693,32834,26089,34187,37609,0,0
5,3840,766,64132,32412,26605,34848,36877,0,0
6,4800,138,63877,31854,27254,35449,36232,0,0
7,5760,2229,60950,31210,27978,35935,35735,0,0
8,6720,6849,55617,30537,28711,36263,35430,0,0
9,7680,13583,48358,29897,29388,36404,35343,0,0
10,8640,21821,39829,29347,29947,36344,35484,0,0
11,9600,30820,30799,28937,30337,36088,35840,0,0
12,10560,39768,22084,28703,30525,35661,36377,0,0
13,11520,47857,14470,28668,30491,35101,37049,0,0
14,12480,54357,8645,28834,30241,34457,37793,0,0
15,13440,58682,5135,29186,29796,33789,38544,0,0
16,14400,60440,4256,29692,29196,33156,39233,0,0
17,15360,59473,6088,30308,28495,32616,39798,0,0
18,16320,55868,10466,30976,27758,32217,40188,0,0
19,17280,49951,16993,31637,27049,31996,40367,0,0
20,18240,42256,25082,32231,26435,31972,40321,0,0
21,19200,33478,34001,32705,25968,32148,40052,0,0
22,20160,24408,42946,33016,25693,32507,39585,0,0
23,21120,15866,51110,33135,25634,33018,38962,0,0
24,22080,8623,57754,33052,25796,33634,38240,0,0
25,23040,3333,62280,32775,26164,34299,37484,0,0
26,24000,472,64279,32328,26705,34954,36761,0,0
27,24960,300,63570,31752,27371,35539,36138,0,0
28,25920,2832,60218,31098,28101,36002,35670,0,0
29,26880,7839,54525,30427,28830,36300,35400,0,0
30,27840,14870,47005,29797,29491,36408,35351,0,0
31,28800,23289,38336,29267,30025,36314,35529,0,0
32,29760,32337,29302,28885,30383,36028,35918,0,0
33,30720,41197,20718,28683,30535,35576,36482,0,0
34,31680,49069,13359,28682,30464,34998,37170,0,0
35,32640,55242,7888,28880,30179,34346,37920,0,0
36,33600,59160,4801,29261,29705,33679,38665,0,0
37,34560,60468,4375,29789,29084,33058,39337,0,0
38,35520,59049,6649,30417,28373,32539,39876,0,0
39,36480,55030,11418,31088,27636,32167,40233,0,0
40,37440,48775,18252,31742,26939,31978,40375,0,0
41,38400,40848,26532,32320,26345,31988,40291,0,0
42,39360,31964,35513,32769,25908,32196,39987,0,0
43,40320,22926,44383,33049,25668,32583,39491,0,0
44,41280,14550,52341,33135,25646,33115,38847,0,0
45,42240,7591,58669,33019,25843,33743,38115,0,0
46,43200,2677,62797,32711,26243,34410,37359,0,0
47,44160,254,64350,32239,26809,35058,36649,0,0
48,45120,538,63190,31646,27490,35626,36048,0,0
49,46080,3505,59420,30986,28224,36064,35610,0,0
50,47040,8886,53382,30317,28946,36332,35376,0,0
51,48000,16196,45620,29701,29590,36406,35365,0,0
52,48960,24776,36834,29192,30098,36279,35580,0,0
53,49920,33849,27819,28838,30424,35964,36001,0,0
54,50880,42598,19387,28669,30538,35487,36589,0,0
55,51840,50233,12300,28701,30431,34893,37292,0,0
56,52800,56064,7198,28932,30112,34234,38046,0,0
57,53760,59566,4541,29340,29610,33571,38784,0,0
58,54720,60421,4569,29888,28970,32963,39438,0,0
59,55680,58553,7280,30527,28250,32465,39949,0,0
60,56640,54130,12429,31200,27515,32123,40272,0,0
61,57600,47552,19550,31846,26831,31966,40377,0,0
62,58560,39413,28002,32405,26260,32009,40255,0,0
63,59520,30446,37021,32829,25854,32249,39916,0,0
64,60480,21463,45793,33078,25649,32663,39392,0,0
65,61440,13273,53526,33130,25664,33214,38730,0,0
66,62400,6615,59523,32980,25897,33853,37989,0,0
67,63360,2092,63241,32643,26327,34521,37236,0,0
68,64320,111,64345,32148,26916,35159,36540,0,0
69,65280,851,62736,31539,27610,35709,35962,0,0
70,66240,4245,58559,30873,28347,36121,35556,0,0
71,67200,9987,52191,30209,29061,36358,35358,0,0
72,68160,17558,44206,29607,29685,36399,35386,0,0
73,69120,26276,35326,29122,30166,36239,35637,0,0
74,70080,35352,26351,28796,30458,35894,36088,0,0
75,71040,43969,18093,28660,30536,35395,36700,0,0
76,72000,51347,11297,28726,30392,34786,37416,0,0
77,72960,56821,6576,28988,30040,34122,38172,0,0
78,73920,59897,4357,29423,29512,33464,38900,0,0
79,74880,60297,4839,29990,28854,32871,39534,0,0
80,75840,57985,7979,30639,28127,32396,40017,0,0
81,76800,53170,13494,31311,27396,32083,40305,0,0
82,77760,46286,20886,31946,26727,31959,40372,0,0
83,78720,37954,29488,32486,26180,32036,40213,0,0
84,79680,28928,38522,32883,25805,32306,39841,0,0
85,80640,20021,47175,33100,25636,32746,39290,0,0
86,81600,12038,54663,33119,25688,33316,38610,0,0
87,82560,5700,60312,32937,25955,33964,37862,0,0
88,83520,1577,63612,32570,26416,34631,37114,0,0
89,84480,44,64265,32053,27026,35258,36433,0,0
90,85440,1237,62211,31431,27732,35788,35882,0,0
91,86400,5050,57636,30761,28470,36173,35508,0,0
92,87360,11138,50954,30103,29172,36379,35347,0,0
93,88320,18952,42767,29517,29777,36386,35413,0,0
94,89280,27786,33814,29055,30228,36194,35699,0,0
95,90240,36842,24904,28760,30486,35821,36181,0,0
96,91200,45304,16841,28657,30527,35299,36814,0,0
97,92160,52407,10352,28757,30348,34677,37541,0,0
98,93120,57511,6024,29050,29963,34011,38297,0,0
99,94080,60153,4248,29509,29410,33359,39014,0,0
100,95040,60097,5182,30094,28736,32783,39627,0,0
101,96000,57347,8744,30751,28003,32332,40080,0,0
102,96960,52151,14612,31421,27278,32049,40332,0,0
103,97920,44978,22256,32044,26625,31958,40361,0,0
104,98880,36477,30985,32564,26104,32068,40165,0,0
