"Time","Subsystem #1|Branch Currents|BRK_6_1_I_A","Subsystem #1|Branch Currents|BRK_6_1_I_B","Subsystem #1|Branch Currents|BRK_6_1_I_C","Subsystem #1|Branch Currents|BRK_6_2_I_A","Subsystem #1|Branch Currents|BRK_6_2_I_B","Subsystem #1|Branch Currents|BRK_6_2_I_C","Subsystem #1|CTLs|Vars|flt_enabled","Subsystem #1|CTLs|Vars|relay_protection"
0.0,-0.006706656586,5.412742254E-4,0.006164914623,0.005608951925,2.023305079E-4,-0.005812317916,0.0,0.0
9.6E-4,-0.005438388029,-0.001692691498,0.007130607305,0.00432343682,0.002153403944,-0.006477866243,0.0,0.0
0.00192,-0.003678256899,-0.003773737589,0.007451531125,0.002646800246,0.003909912571,-0.006557737109,0.0,0.0
0.00288,-0.001585383647,-0.005513748214,0.007098663479,7.306791616E-4,0.005312966422,-0.006044663259,0.0,0.0
0.00384,6.510072481E-4,-0.006755333715,0.006103867323,-0.001251674142,0.006235638406,-0.004984979241,0.0,0.0
0.0048,0.002828692658,-0.007386221679,0.004557070987,-0.003120972636,0.006594427937,-0.003474472354,0.0,0.0
0.00576,0.004750795135,-0.007349344244,0.002598095872,-0.004708122425,0.006356823512,-0.001649705972,0.0,0.0
0.00672,0.006243478445,-0.006647995354,4.040575874E-4,-0.005869593878,0.005544262094,3.243163071E-4,0.0,0.0
0.00768,0.007171776506,-0.005345546805,-0.001826660956,-0.006500251537,0.004230152362,0.002269076305,0.0,0.0
0.00864,0.007451717376,-0.003559742412,-0.003892389522,-0.006543009867,0.002533294285,0.004008708387,0.0,0.0
0.0096,0.007057924201,-0.001452017884,-0.005606335485,-0.005993926333,6.071008585E-4,0.005385820323,0.0,0.0
0.01056,0.006025983273,7.870870178E-4,-0.00681349146,-0.004902570289,-0.001374260705,0.006275806896,0.0,0.0
0.01152,0.004449164148,0.002955129297,-0.007404703162,-0.003367591583,-0.003231606271,0.006598173741,0.0,0.0
0.01248,0.002469971072,0.004856069857,-0.007326454154,-0.001527764759,-0.004796931741,0.006323665991,0.0,0.0
0.01344,2.673337995E-4,0.006318013668,-0.006585761936,4.505962714E-4,-0.005928638025,0.005477012577,0.0,0.0
0.0144,-0.001959606255,0.007208749153,-0.005249549884,0.002388567921,-0.006524321261,0.004134724629,0.0,0.0
0.01536,-0.004009498689,0.007447696593,-0.003438567742,0.004110885499,-0.006530014307,0.002418112066,0.0,0.0
0.01632,-0.005697005179,0.007013171732,-0.001316558063,0.005461778052,-0.005945137005,4.823558442E-4,0.0,0.0
0.01728,-0.006869515445,0.005944435389,9.246739374E-4,0.006318977608,-0.00482247695,-0.001497509938,0.0,0.0
0.01824,-0.007420941817,0.004338034421,0.003082512912,0.006604919456,-0.003263498227,-0.003342450405,0.0,0.0
0.0192,-0.007301398242,0.00233916877,0.004961823841,0.00629365422,-0.00140910652,-0.004885581717,0.0,0.0
0.02016,-0.006521629836,1.285470397E-4,0.006392678742,0.005413221715,5.730634633E-4,-0.005987305585,0.0,0.0
0.02112,-0.00515205103,-0.002094017226,0.007245681122,0.004043162294,0.00250376555,-0.00654793002,0.0,0.0
0.02208,-0.003316461816,-0.004127549857,0.007443628913,0.002307281433,0.00420836539,-0.0065166609,0.0,0.0
0.02304,-0.001180754161,-0.005788214885,0.006968571586,3.624864853E-4,0.005532681513,-0.005896210897,0.0,0.0
0.024,0.001062011901,-0.006925797624,0.005863380205,-0.001615349099,0.006356910465,-0.004742600786,0.0,0.0
0.02496,0.003209088817,-0.007437398164,0.004227909445,-0.003447412666,0.006606432823,-0.003160059636,0.0,0.0
0.02592,0.005066321584,-0.007276691871,0.002209957195,-0.004967991529,0.006258559981,-0.001291602736,0.0,0.0
0.02688,0.006465776536,-0.006458117841,-8.075673463E-6,-0.006039516709,0.00534464506,6.938353003E-4,0.0,0.0
0.02784,0.007280895087,-0.005055630892,-0.00222568115,-0.006565007116,0.00394722075,0.00261676103,0.0,0.0
0.0288,0.007437887817,-0.00319595066,-0.004242361662,-0.006496842619,0.002192566395,0.004303252155,0.0,0.0
0.02976,0.006922487916,-0.001047150455,-0.005875773823,-0.005841071493,2.392888554E-4,0.005600775488,0.0,0.0
0.03072,0.005781203935,0.001196536914,-0.00697818523,-0.004656886121,-0.001736023503,0.006391902208,0.0,0.0
0.03168,0.004117146224,0.003332281473,-0.007449874762,-0.003051253827,-0.003554757733,0.006604996461,0.0,0.0
0.03264,0.002080674655,0.005166990569,-0.007248112599,-0.001169286801,-0.005052412355,0.006220679083,0.0,0.0
0.0336,-1.441259556E-4,0.006534728669,-0.006391048268,8.188871803E-4,-0.006093513072,0.005273581838,0.0,0.0
0.03456,-0.00235617641,0.007311799877,-0.004956078636,0.002733529314,-0.006583807544,0.003849227315,0.0,0.0
0.03552,-0.004355464789,0.007427863302,-0.003072842203,0.004401485043,-0.006478836134,0.002076326755,0.0,0.0
0.03648,-0.005961237726,0.006872329816,-9.115345811E-4,0.005671868841,-0.005787987023,1.150956663E-4,0.0,0.0
0.03744,-0.007028249804,0.005695343086,0.001332471822,0.006429700328,-0.004573596146,-0.001857131959,0.0,0.0
0.0384,-0.007459967399,0.004003206922,0.00345633282,0.006606379177,-0.002945358135,-0.003662083436,0.0,0.0
0.03936,-0.007217271669,0.001948809913,0.005268030989,0.006185801249,-0.001050415843,-0.005136462455,0.0,0.0
0.04032,-0.006322007451,-2.821752609E-4,0.006603746527,0.005205858522,9.399570011E-4,-0.006146890819,0.0,0.0
