1,0,11482,52259,45938,22421,40781,23519,0,0
2,960,11556,51567,40316,27816,46329,18817,0,0
3,1920,13542,49174,34010,33656,50649,15371,0,0
4,2880,17260,45297,27587,39413,53352,13491,0,0
5,3840,22376,40285,21629,44567,54194,13349,0,0
6,4800,28426,34591,16673,48654,53099,14957,0,0
7,5760,34866,28729,13166,51304,50166,18169,0,0
8,6720,41113,23229,11425,52278,45659,22696,0,0
9,7680,46604,18586,11607,51488,39986,28128,0,0
10,8640,50844,15219,13695,49005,33658,33977,0,0
11,9600,53448,13433,17502,45054,27247,39713,0,0
12,10560,54183,13389,22683,39992,21331,44818,0,0
13,11520,52982,15091,28771,34274,16444,48833,0,0
14,12480,49953,18386,35216,28418,13029,51394,0,0
15,13440,45370,22975,41437,22952,11392,52271,0,0
16,14400,39646,28444,46871,18369,11682,51384,0,0
17,15360,33299,34300,51029,15084,13872,48813,0,0
18,16320,26901,40015,53534,13392,17766,44790,0,0
19,17280,21029,45072,54162,13446,23010,39679,0,0
20,18240,16215,49014,52854,15242,29133,33941,0,0
21,19200,12891,51487,49730,18618,35580,28094,0,0
22,20160,11359,52266,45071,23268,41771,22665,0,0
23,21120,11757,51282,39298,28773,47146,18145,0,0
24,22080,14049,48623,32932,34636,51221,14942,0,0
25,23040,18027,44529,26547,40327,53626,13345,0,0
26,24000,23333,39370,20720,45334,54146,13497,0,0
27,24960,29488,33611,15977,49204,52733,15387,0,0
28,25920,35936,27773,12747,51587,49515,18841,0,0
29,26880,42096,22383,11320,52269,44782,23550,0,0
30,27840,47410,17926,11825,51187,38962,29088,0,0
31,28800,51400,14805,14218,48441,32579,34955,0,0
32,29760,53704,13303,18281,44277,26211,40620,0,0
33,30720,54116,13554,23649,39071,20432,45574,0,0
34,31680,52598,15536,29836,33293,15763,49369,0,0
35,32640,49287,19070,36284,27466,12626,51661,0,0
36,33600,44482,23838,42411,22114,11305,52245,0,0
37,34560,38617,29407,47664,17722,11918,51068,0,0
38,35520,32220,35277,51569,14685,14411,48235,0,0
39,36480,25870,40917,53773,13278,18557,44003,0,0
40,37440,20140,45817,54077,13627,23984,38753,0,0
41,38400,15547,49536,52454,15702,30200,32960,0,0
42,39360,12506,51738,49050,19314,36646,27146,0,0
43,40320,11291,52224,44173,24139,42738,21836,0,0
44,41280,12011,50950,38263,29739,47927,17510,0,0
45,42240,14603,48032,31853,35611,51745,14558,0,0
46,43200,18831,43731,25522,41223,53847,13247,0,0
47,44160,24315,38438,19842,46069,54043,13695,0,0
48,45120,30558,32630,15324,49712,52316,15861,0,0
49,46080,36999,26830,12378,51822,48821,19550,0,0
50,47040,43054,21563,11269,52210,43874,24429,0,0
51,48000,48178,17304,12097,50840,37922,30057,0,0
52,48960,51908,14437,14787,47836,31501,35927,0,0
53,49920,53908,13222,19097,43469,25192,41509,0,0
54,50880,53996,13767,24638,38134,19564,46298,0,0
55,51840,52165,16025,30908,32311,15124,49863,0,0
56,52800,48580,19790,37343,26527,12275,51881,0,0
57,53760,43565,24723,43362,21304,11272,52171,0,0
58,54720,37572,30379,48420,17113,12207,50706,0,0
59,55680,31143,36247,52062,14332,14995,47618,0,0
60,56640,24857,41798,53959,13213,19385,43187,0,0
61,57600,19283,46530,53939,13856,24980,37811,0,0
62,58560,14923,50016,52004,16204,31274,31978,0,0
63,59520,12171,51942,48330,20045,37701,26212,0,0
64,60480,11276,52133,43246,25031,43679,21035,0,0
65,61440,12317,50573,37214,30713,48670,16914,0,0
66,62400,15202,47402,30777,36578,52222,14221,0,0
67,63360,19670,42906,24515,42096,54015,13199,0,0
68,64320,25317,37492,18995,46770,53887,13940,0,0
69,65280,31634,31648,14715,50177,51850,16377,0,0
70,66240,38050,25902,12061,52009,48087,20291,0,0
71,67200,43987,20771,11272,52102,42938,25328,0,0
72,68160,48908,16721,12421,50448,36869,31033,0,0
73,69120,52369,14115,15402,47194,30426,36892,0,0
74,70080,54057,13190,19948,42635,24192,42375,0,0
75,71040,53822,14028,25647,37183,18729,46988,0,0
76,72000,51682,16555,31985,31330,14530,50313,0,0
77,72960,47833,20542,38391,25604,11975,52052,0,0
78,73920,42620,25629,44285,20522,11294,52047,0,0
79,74880,36515,31357,49136,16543,12548,50298,0,0
80,75840,30069,37209,52506,14025,15625,46963,0,0
81,76800,23864,42656,54091,13197,20246,42344,0,0
82,77760,18460,47208,53747,14133,25995,36857,0,0
83,78720,14344,50452,51505,16749,32352,30998,0,0
84,79680,11889,52097,47569,20808,38744,25295,0,0
85,80640,11315,51993,42293,25943,44593,20264,0,0
86,81600,12675,50150,36154,31693,49372,16358,0,0
87,82560,15846,46735,29705,37536,52650,13930,0,0
88,83520,20542,42056,23529,42947,54129,13200,0,0
89,84480,26338,36534,18184,47436,53677,14232,0,0
90,85440,32712,30669,14151,50598,51335,16935,0,0
91,86400,39088,24990,11796,52148,47314,21064,0,0
92,87360,44891,20010,11330,51946,41977,26246,0,0
93,88320,49596,16178,12796,50010,35805,32013,0,0
94,89280,52779,13840,16061,46515,29357,37846,0,0
95,90240,54153,13207,20830,41776,23213,43217,0,0
96,91200,53594,14337,26674,36222,17929,47641,0,0
97,92160,51152,17127,33064,30353,13982,50719,0,0
98,93120,47047,21325,39424,24699,11728,52174,0,0
99,94080,41650,26553,45179,19771,11369,51874,0,0
100,95040,35449,32338,49811,16014,12940,49846,0,0
101,96000,29003,38159,52900,13766,16298,46273,0,0
102,96960,22894,43489,54169,13231,21139,41477,0,0
103,97920,17673,47849,53502,14457,27027,35892,0,0
104,98880,13812,50843,50959,17333,33431,30022,0,0
105,99840,11659,52202,46771,21600,39772,24396,0,0
106,100800,11409,51804,41316,26873,45477,19523,0,0
107,101760,13084,49683,35085,32674,50033,15843,0,0
108,102720,16533,46033,28641,38482,53027,13687,0,0
109,103680,21445,41181,22566,43771,54189,13250,0,0
110,104640,27376,35566,17409,48064,53415,14572,0,0
111,105600,33790,29695,13635,50974,50773,17533,0,0
112,106560,40110,24099,11584,52238,46504,21866,0,0
113,107520,45764,19281,11441,51741,40992,27180,0,0
114,108480,50242,15677,13221,49529,34734,32995,0,0
115,109440,53140,13613,16761,45801,28296,38787,0,0
116,110400,54195,13274,21743,40894,22259,44032,0,0
117,111360,53314,14691,27716,35251,17167,48257,0,0
118,112320,50575,17737,34142,29381,13481,51080,0,0
119,113280,46225,22136,40440,23814,11533,52247,0,0
120,114240,40658,27492,46042,19053,11499,51653,0,0
121,115200,34376,33320,50442,15527,13382,49350,0,0
122,116160,27946,39095,53243,13555,17012,45548,0,0
123,117120,21948,44295,54192,13314,22061,40588,0,0
124,118080,16924,48451,53204,14827,28074,34919,0,0
125,119040,13327,51188,50367,17957,34508,29053,0,0
126,120000,11482,52259,45938,22421,40782,23519,0,0
127,120960,11556,51566,40316,27816,46329,18817,0,0
128,121920,13542,49174,34010,33656,50649,15370,0,0
129,122880,17260,45296,27588,39413,53353,13491,0,0
130,123840,22376,40285,21629,44568,54195,13349,0,0
131,124800,28426,34591,16673,48654,53100,14957,0,0
132,125760,34866,28729,13166,51304,50166,18169,0,0
133,126720,41113,23228,11425,52278,45659,22695,0,0
134,127680,46604,18585,11607,51488,39986,28128,0,0
135,128640,50844,15219,13695,49005,33658,33977,0,0
