1,0,31355,37060,26664,40809,34452,28428,0,0
2,960,31761,36505,17868,49241,34595,28324,0,0
3,1920,32266,35843,10204,56316,34564,28426,0,0
4,2880,32825,35134,4364,61395,34364,28727,0,0
5,3840,33387,34442,876,64020,34011,29198,0,0
6,4800,33902,33829,53,63954,33538,29797,0,0
7,5760,34323,33350,1971,61203,32987,30470,0,0
8,6720,34611,33050,6455,56015,32409,31157,0,0
9,7680,34742,32954,13103,48858,31855,31794,0,0
10,8640,34703,33072,21312,40379,31375,32325,0,0
11,9600,34498,33392,30343,31343,31012,32703,0,0
12,10560,34144,33887,39380,22566,30800,32891,0,0
13,11520,33675,34511,47607,14839,30758,32875,0,0
14,12480,33133,35208,54281,8862,30889,32654,0,0
15,13440,32566,35915,58801,5172,31181,32250,0,0
16,14400,32026,36569,60758,4103,31609,31698,0,0
17,15360,31561,37109,59975,5752,32133,31049,0,0
18,16320,31213,37489,56523,9970,32706,30360,0,0
19,17280,31014,37672,50714,16376,33277,29695,0,0
20,18240,30982,37643,43073,24391,33793,29113,0,0
21,19200,31120,37404,34288,33293,34209,28667,0,0
22,20160,31414,36977,25152,42278,34487,28396,0,0
23,21120,31840,36401,16492,50534,34602,28326,0,0
24,22080,32357,35727,9088,57316,34542,28463,0,0
25,23040,32920,35016,3608,62013,34315,28794,0,0
26,24000,33478,34333,548,64199,33940,29290,0,0
27,24960,33980,33738,184,63678,33450,29906,0,0
28,25920,34381,33287,2548,60497,32892,30585,0,0
29,26880,34645,33019,7427,54943,32313,31268,0,0
30,27840,34747,32959,14381,47517,31768,31892,0,0
31,28800,34680,33112,22782,38890,31305,32400,0,0
32,29760,34448,33464,31871,29840,30966,32748,0,0
33,30720,34073,33984,40829,21185,30781,32903,0,0
34,31680,33589,34624,48845,13705,30768,32852,0,0
35,32640,33039,35327,55198,8076,30927,32599,0,0
36,33600,32473,36030,59313,4806,31244,32167,0,0
37,34560,31942,36668,60819,4190,31691,31595,0,0
38,35520,31494,37185,59580,6284,32226,30935,0,0
39,36480,31169,37533,55707,10899,32803,30246,0,0
40,37440,30997,37682,49551,17618,33368,29591,0,0
41,38400,30993,37617,41667,25835,33871,29028,0,0
42,39360,31158,37345,32767,34807,34266,28608,0,0
43,40320,31477,36890,23654,43726,34518,28370,0,0
44,41280,31921,36294,15151,51785,34604,28335,0,0
45,42240,32449,35609,8025,58258,34516,28506,0,0
46,43200,33015,34898,2920,62560,34262,28867,0,0
47,44160,33567,34226,297,64302,33865,29386,0,0
48,45120,34055,33652,391,63328,33361,30016,0,0
49,46080,34435,33229,3196,59725,32795,30701,0,0
50,47040,34673,32994,8457,53819,32219,31378,0,0
51,48000,34748,32969,15700,46143,31684,31986,0,0
52,48960,34652,33157,24271,37389,31239,32470,0,0
53,49920,34395,33540,33396,28348,30924,32788,0,0
54,50880,33999,34083,42251,19837,30767,32909,0,0
55,51840,33500,34738,50037,12622,30782,32823,0,0
56,52800,32944,35446,56052,7357,30969,32538,0,0
57,53760,32380,36142,59752,4515,31310,32080,0,0
58,54720,31860,36764,60803,4353,31775,31490,0,0
59,55680,31430,37256,59110,6887,32321,30821,0,0
60,56640,31129,37573,54827,11887,32899,30133,0,0
61,57600,30985,37686,48339,18902,33457,29489,0,0
62,58560,31009,37586,40233,27299,33945,28947,0,0
63,59520,31201,37281,31241,36320,34319,28555,0,0
64,60480,31543,36799,22173,45150,34544,28350,0,0
65,61440,32004,36184,13849,52992,34601,28349,0,0
66,62400,32542,35491,7019,59139,34485,28553,0,0
67,63360,33109,34782,2301,63035,34205,28943,0,0
68,64320,33654,34122,121,64329,33787,29485,0,0
69,65280,34127,33570,675,62904,33269,30128,0,0
70,66240,34485,33176,3913,58889,32698,30816,0,0
71,67200,34697,32975,9543,52646,32125,31485,0,0
72,68160,34744,32986,17056,44738,31602,32076,0,0
73,69120,34620,33208,25775,35880,31176,32536,0,0
74,70080,34338,33620,34913,26871,30886,32822,0,0
75,71040,33922,34186,43644,18525,30757,32909,0,0
76,72000,33410,34854,51180,11594,30802,32789,0,0
77,72960,32849,35565,56841,6705,31016,32473,0,0
78,73920,32289,36253,60116,4298,31380,31990,0,0
79,74880,31781,36857,60710,4592,31861,31382,0,0
80,75840,31370,37322,58569,7559,32416,30706,0,0
81,76800,31094,37606,53885,12932,32995,30021,0,0
82,77760,30977,37684,47082,20225,33545,29390,0,0
83,78720,31030,37549,38775,28781,34017,28870,0,0
84,79680,31249,37212,29712,37826,34368,28508,0,0
85,80640,31613,36705,20712,46546,34566,28335,0,0
86,81600,32090,36072,12588,54151,34594,28369,0,0
87,82560,32636,35372,6072,59956,34449,28606,0,0
88,83520,33203,34667,1754,63437,34144,29024,0,0
89,84480,33739,34021,22,64280,33707,29586,0,0
90,85440,34195,33492,1033,62407,33177,30241,0,0
91,86400,34532,33128,4696,57990,32602,30930,0,0
92,87360,34717,32962,10681,51425,32033,31591,0,0
93,88320,34735,33009,18446,43307,31523,32163,0,0
94,89280,34584,33264,27291,34367,31118,32596,0,0
95,90240,34277,33705,36418,25413,30853,32851,0,0
96,91200,33842,34292,45003,17252,30753,32903,0,0
97,92160,33319,34972,52270,10623,30826,32750,0,0
98,93120,32755,35683,57564,6122,31067,32403,0,0
99,94080,32200,36361,60406,4157,31453,31896,0,0
100,95040,31704,36945,60541,4905,31950,31273,0,0
101,96000,31314,37383,57956,8298,32513,30590,0,0
102,96960,31063,37634,52884,14030,33090,29910,0,0
103,97920,30974,37676,45783,21583,33630,29294,0,0
104,98880,31055,37506,37295,30276,34085,28798,0,0
105,99840,31300,37138,28185,39324,34412,28465,0,0
106,100800,31686,36607,19276,47911,34583,28327,0,0
107,101760,32177,35959,11372,55260,34581,28395,0,0
108,102720,32731,35253,5187,60709,34408,28664,0,0
109,103680,33296,34553,1278,63766,34079,29109,0,0
110,104640,33822,33923,0,64154,33624,29691,0,0
111,105600,34261,33419,1466,61840,33083,30355,0,0
112,106560,34574,33086,5545,57031,32505,31044,0,0
113,107520,34732,32955,11869,50162,31943,31694,0,0
114,108480,34721,33037,19866,41852,31447,32247,0,0
115,109440,34543,33326,28816,32853,31063,32652,0,0
116,110400,34212,33794,37909,23976,30824,32874,0,0
117,111360,33760,34401,46325,16023,30753,32892,0,0
118,112320,33226,35090,53305,9711,30855,32705,0,0
119,113280,32660,35800,58217,5611,31122,32329,0,0
120,114240,32112,36466,60620,4092,31530,31798,0,0
121,115200,31631,37029,60296,5292,32041,31161,0,0
122,116160,31261,37438,57273,9102,32609,30475,0,0
123,117120,31036,37656,51826,15179,33184,29802,0,0
124,118080,30976,37663,44446,22973,33713,29202,0,0
125,119040,31085,37458,35798,31782,34149,28730,0,0
126,120000,31355,37060,26664,40809,34452,28428,0,0
127,120960,31761,36505,17868,49241,34595,28324,0,0
128,121920,32266,35843,10205,56316,34564,28426,0,0
129,122880,32825,35134,4365,61395,34364,28727,0,0
130,123840,33387,34442,876,64020,34011,29198,0,0
131,124800,33902,33829,54,63953,33538,29797,0,0
132,125760,34323,33350,1972,61202,32987,30470,0,0
133,126720,34611,33050,6456,56014,32409,31157,0,0
134,127680,34742,32954,13104,48858,31854,31794,0,0
135,128640,34703,33072,21313,40379,31375,32326,0,0
136,129600,34497,33392,30343,31343,31012,32703,0,0
137,130560,34144,33887,39380,22566,30800,32891,0,0
138,131520,33675,34511,47607,14839,30758,32875,0,0
139,132480,33133,35208,54281,8862,30889,32654,0,0
140,133440,32566,35915,58801,5172,31181,32250,0,0
141,134400,32026,36569,60758,4103,31609,31698,0,0
142,135360,31561,37109,59975,5752,32133,31049,0,0
143,136320,31213,37489,56523,9970,32706,30360,0,0
144,137280,31014,37672,50714,16376,33277,29695,0,0
145,138240,30982,37643,43072,24391,33793,29113,0,0
146,139200,31120,37404,34287,33293,34209,28667,0,0
